company,company_type,title,link,sectors,work_place,career,education,salary,deadline,reg_info,reg_days_ago,posting_period_days
새항운병원,일반기업,간호조무사(내시경실) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173180&adsCategoryItem=effect_bold&,"간호사, 방사선사, 임상병리사, 간호조무사, 위생사",부산 연제구 외,신입 · 경력 · 정규직,고졸↑,면접 후 협의,내일마감,5일 전 등록,5,알수없음
현대자동차(주),대기업,모빌리티 기술인력 채용 (자동차 생산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173040,"생산관리, 설비OP, 생산설계, 도장/도금/도색, 프레스금형",전국,경력무관 · 정규직,고졸↑,면접 후 협의,D-4,5일 전 등록,5,9
현대자동차(주),대기업,모빌리티 기술인력 채용 (R&D 기술인력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173039,"기술지원, 기술연구, 정비기사, 장비설계, 장비제어",경기 화성시 만세구,경력무관 · 정규직,고졸↑,면접 후 협의,D-4,5일 전 등록,5,9
현대자동차(주),대기업,모빌리티 기술인력 채용 (배터리 기술인력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173038,"신소재, 품질검사원, 품질분석, 재고관리, 품질관리",경기전체 외,경력무관 · 정규직,고졸↑,면접 후 협의,D-4,5일 전 등록,5,9
현대자동차(주),대기업,모빌리티 기술인력 채용 (R&D 유틸리티 관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173036,"장비설계, 장비제어, 공조냉동기사, 안전관리자, 전기기사",경기 화성시 만세구,경력무관 · 정규직,고졸↑,면접 후 협의,D-4,5일 전 등록,5,9
현대자동차(주),대기업,모빌리티 기술인력 채용 (디자인 모델러),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173037,"모델링, 건축디자인, 3D설계, 리모델링",경기 화성시 만세구,경력무관 · 정규직,고졸↑,면접 후 협의,D-4,5일 전 등록,5,9
다올이앤씨(주),외국계,2026년도 상반기 신입/경력 채용 [토목(시공)/안전],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172890&adsCategoryItem=effect_bold&,"안전관리자, 토목기술자, 현장관리자, 현장기사, 안전보건관리자",전국 외,신입 · 경력 · 정규직 외,대학교(4년)↑,면접 후 협의,D-5,5일 전 등록,5,10
한솔생명과학(주),일반기업,2026년 화장품 각 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172464&adsCategoryItem=effect_bold&,"유지보수, 전산회계, 더존, 4대보험, 계산서발행",경기 성남시 중원구 외,신입 · 경력 · 정규직,고졸↑,면접 후 협의,~07.14(화),5일 전 등록,5,28
엘에스엠앤엠(주),대기업,행정직 신입사원 수시채용 [영업지원],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172312,영업지원,서울전체,신입,"대학(2,3년)↑",면접 후 협의,내일마감,5일 전 등록,5,알수없음
(주)한섬,대기업,고객케어팀 계약직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54172091,"콘텐츠마케팅, CRM마케팅, 세일즈프로모션, 마케팅",서울 강남구,신입 · 계약직,"대학(2,3년)↑",면접 후 협의,~06.30(화),5일 전 등록,5,14
(주)한섬,대기업,타미여성파트 AMD 계약직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54171959,"AMD, 선적, 출고/출하",서울 강동구,신입 · 계약직,"대학(2,3년)↑",면접 후 협의,~06.30(화),5일 전 등록,5,14
