company,company_type,primary_sector,title,title_length,sector_count,posting_period_days,duration_deviation,abs_duration_deviation,is_short_posting,is_long_posting,company_reposting_count,sector_reposting_count,estimated_salary,estimated_welfare_count,has_flexible_work,has_snack_bar,has_incentive,turnover_risk_score,turnover_risk_level,link
단일가스켐(주),일반기업,경리,정규직 신입/경력사원 채용,14,5,32.0,20.0,20.0,0,1,1,7,3800,3,0,0,0,52.76595744680851,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54178104
(학)단국대학교,일반기업,보안컨설팅,단국대학교 신규직원 채용공고,15,5,11.0,-1.0,1.0,1,0,1,3,3800,3,0,0,0,40.63829787234043,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177767
(주)그린파워,일반기업,정보통신,㈜그린파워 상반기 각 부문 공개채용,19,5,9.0,-3.0,3.0,1,0,1,2,3800,3,0,0,0,41.91489361702128,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177753&adsCategoryItem=effect_bold&
(주)큐브엔터테인먼트,코스닥,IR/공시,(주)큐브엔터테인먼트 2026년 6월 채용공고,25,5,19.0,7.0,7.0,0,1,1,2,4500,4,0,0,0,33.468085106382986,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177623
(주)시제,일반기업,웹개발,프론트엔드 개발자-react/next.js 기반,26,5,28.0,16.0,16.0,0,1,1,1,3800,3,0,0,0,50.21276595744681,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177547&adsCategoryItem=effect_bold&
(주)태하,일반기업,영업직,각 분야 채용공고,9,5,13.0,1.0,1.0,0,1,1,4,3800,3,0,0,0,40.63829787234043,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177368&adsCategoryItem=effect_bold&
SH에너지화학,대기업,공정엔지니어,(주)SH에너지화학 보전(전기계장) 경력사원 채용,27,5,7.0,-5.0,5.0,1,0,1,1,5800,7,0,0,0,7.191489361702128,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177175
제일산업(주)안성공장,일반기업,사무직,제일산업㈜안성공장 각 부문 신입/경력 정규사원 모집,28,5,14.0,2.0,2.0,0,1,1,67,3800,3,0,0,0,41.276595744680854,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54177148&adsCategoryItem=effect_bold&
네이버(주),일반기업,AI(인공지능),2026 NAVER 하계 인턴십 : 비즈니스 트랙 (AI 업무 자동화 설계),42,5,7.0,-5.0,5.0,1,0,13,18,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176703
에스앤에스아이앤씨(주),일반기업,인프라,2026년 S&S 신입/경력 공채,18,5,14.0,2.0,2.0,0,1,1,3,3800,3,0,0,0,41.276595744680854,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54176679
